x,u
    0.000000,  9.4358970923E-01
    0.004975,  9.5190524953E-01
    0.009950,  9.5929069768E-01
    0.014925,  9.6573883747E-01
    0.019900,  9.7124336853E-01
    0.024876,  9.7579891246E-01
    0.029851,  9.7940101810E-01
    0.034826,  9.8204616589E-01
    0.039801,  9.8373177130E-01
    0.044776,  9.8445618735E-01
    0.049751,  9.8421870623E-01
    0.054726,  9.8301955997E-01
    0.059701,  9.8085992024E-01
    0.064677,  9.7774189719E-01
    0.069652,  9.7366853740E-01
    0.074627,  9.6864382088E-01
    0.079602,  9.6267265721E-01
    0.084577,  9.5576088071E-01
    0.089552,  9.4791524479E-01
    0.094527,  9.3914341530E-01
    0.099502,  9.2945396304E-01
    0.104478,  9.1885635545E-01
    0.109453,  9.0736094728E-01
    0.114428,  8.9497897052E-01
    0.119403,  8.8172252342E-01
    0.124378,  8.6760455864E-01
    0.129353,  8.5263887063E-01
    0.134328,  8.3684008215E-01
    0.139303,  8.2022362994E-01
    0.144279,  8.0280574969E-01
    0.149254,  7.8460346015E-01
    0.154229,  7.6563454649E-01
    0.159204,  7.4591754295E-01
    0.164179,  7.2547171472E-01
    0.169154,  7.0431703911E-01
    0.174129,  6.8247418603E-01
    0.179104,  6.5996449779E-01
    0.184080,  6.3680996827E-01
    0.189055,  6.1303322141E-01
    0.194030,  5.8865748911E-01
    0.199005,  5.6370658853E-01
    0.203980,  5.3820489881E-01
    0.208955,  5.1217733726E-01
    0.213930,  4.8564933502E-01
    0.218905,  4.5864681220E-01
    0.223881,  4.3119615255E-01
    0.228856,  4.0332417770E-01
    0.233831,  3.7505812092E-01
    0.238806,  3.4642560055E-01
    0.243781,  3.1745459300E-01
    0.248756,  2.8817340538E-01
    0.253731,  2.5861064792E-01
    0.258706,  2.2879520592E-01
    0.263682,  1.9875621160E-01
    0.268657,  1.6852301561E-01
    0.273632,  1.3812515834E-01
    0.278607,  1.0759234108E-01
    0.283582,  7.6954396981E-02
    0.288557,  4.6241261909E-02
    0.293532,  1.5482945202E-02
    0.298507, -1.5290499655E-02
    0.303483, -4.6049004397E-02
    0.308458, -7.6762515357E-02
    0.313433, -1.0740102283E-01
    0.318408, -1.3793459040E-01
    0.323383, -1.6833338417E-01
    0.328358, -1.9856770195E-01
    0.333333, -2.2860800226E-01
    0.338308, -2.5842493315E-01
    0.343284, -2.8798936098E-01
    0.348259, -3.1727239877E-01
    0.353234, -3.4624543453E-01
    0.358209, -3.7488015914E-01
    0.363184, -4.0314859404E-01
    0.368159, -4.3102311858E-01
    0.373134, -4.5847649698E-01
    0.378109, -4.8548190497E-01
    0.383085, -5.1201295596E-01
    0.388060, -5.3804372688E-01
    0.393035, -5.6354878346E-01
    0.398010, -5.8850320508E-01
    0.402985, -6.1288260917E-01
    0.407960, -6.3666317497E-01
    0.412935, -6.5982166687E-01
    0.417910, -6.8233545705E-01
    0.422886, -7.0418254762E-01
    0.427861, -7.2534159213E-01
    0.432836, -7.4579191639E-01
    0.437811, -7.6551353871E-01
    0.442786, -7.8448718939E-01
    0.447761, -8.0269432956E-01
    0.452736, -8.2011716931E-01
    0.457711, -8.3673868503E-01
    0.462687, -8.5254263611E-01
    0.467662, -8.6751358073E-01
    0.472637, -8.8163689102E-01
    0.477612, -8.9489876731E-01
    0.482587, -9.0728625161E-01
    0.487562, -9.1878724031E-01
    0.492537, -9.2939049596E-01
    0.497512, -9.3908565829E-01
    0.502488, -9.4786325429E-01
    0.507463, -9.5571470752E-01
    0.512438, -9.6263234644E-01
    0.517413, -9.6860941192E-01
    0.522388, -9.7364006387E-01
    0.527363, -9.7771938691E-01
    0.532338, -9.8084339521E-01
    0.537313, -9.8300903633E-01
    0.542289, -9.8421419426E-01
    0.547264, -9.8445769147E-01
    0.552239, -9.8373929003E-01
    0.557214, -9.8205969188E-01
    0.562189, -9.7942053814E-01
    0.567164, -9.7582440748E-01
    0.572139, -9.7127481362E-01
    0.577114, -9.6577620190E-01
    0.582090, -9.5933394494E-01
    0.587065, -9.5195433737E-01
    0.592040, -9.4364458968E-01
    0.597015, -9.3441282121E-01
    0.601990, -9.2426805217E-01
    0.606965, -9.1322019488E-01
    0.611940, -9.0128004401E-01
    0.616915, -8.8845926610E-01
    0.621891, -8.7477038816E-01
    0.626866, -8.6022678537E-01
    0.631841, -8.4484266806E-01
    0.636816, -8.2863306782E-01
    0.641791, -8.1161382281E-01
    0.646766, -7.9380156227E-01
    0.651741, -7.7521369029E-01
    0.656716, -7.5586836879E-01
    0.661692, -7.3578449981E-01
    0.666667, -7.1498170697E-01
    0.671642, -6.9348031638E-01
    0.676617, -6.7130133671E-01
    0.681592, -6.4846643870E-01
    0.686567, -6.2499793400E-01
    0.691542, -6.0091875332E-01
    0.696517, -5.7625242406E-01
    0.701493, -5.5102304731E-01
    0.706468, -5.2525527432E-01
    0.711443, -4.9897428239E-01
    0.716418, -4.7220575027E-01
    0.721393, -4.4497583309E-01
    0.726368, -4.1731113678E-01
    0.731343, -3.8923869211E-01
    0.736318, -3.6078592823E-01
    0.741294, -3.3198064591E-01
    0.746269, -3.0285099034E-01
    0.751244, -2.7342542367E-01
    0.756219, -2.4373269717E-01
    0.761194, -2.1380182317E-01
    0.766169, -1.8366204665E-01
    0.771144, -1.5334281674E-01
    0.776119, -1.2287375789E-01
    0.781095, -9.2284640960E-02
    0.786070, -6.1605354111E-02
    0.791045, -3.0865873608E-02
    0.796020, -9.6234527939E-05
    0.800995,  3.0673498581E-02
    0.805970,  6.1413261081E-02
    0.810945,  9.2093017617E-02
    0.815920,  1.2268279146E-01
    0.820896,  1.5315269382E-01
    0.825871,  1.8347295301E-01
    0.830846,  2.1361394357E-01
    0.835821,  2.4354621518E-01
    0.840796,  2.7324052150E-01
    0.845771,  3.0266784865E-01
    0.850746,  3.3179944365E-01
    0.855721,  3.6060684246E-01
    0.860697,  3.8906189780E-01
    0.865672,  4.1713680667E-01
    0.870647,  4.4480413752E-01
    0.875622,  4.7203685700E-01
    0.880597,  4.9880835644E-01
    0.885572,  5.2509247782E-01
    0.890547,  5.5086353933E-01
    0.895522,  5.7609636044E-01
    0.900498,  6.0076628656E-01
    0.905473,  6.2484921307E-01
    0.910448,  6.4832160891E-01
    0.915423,  6.7116053956E-01
    0.920398,  6.9334368945E-01
    0.925373,  7.1484938376E-01
    0.930348,  7.3565660961E-01
    0.935323,  7.5574503657E-01
    0.940299,  7.7509503653E-01
    0.945274,  7.9368770292E-01
    0.950249,  8.1150486912E-01
    0.955224,  8.2852912625E-01
    0.960199,  8.4474384017E-01
    0.965174,  8.6013316771E-01
    0.970149,  8.7468207222E-01
    0.975124,  8.8837633817E-01
    0.980100,  9.0120258510E-01
    0.985075,  9.1314828068E-01
    0.990050,  9.2420175297E-01
    0.995025,  9.3435220176E-01
