x,u_numeric,u_exact,abs_err
 0.00000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
 0.01000,  3.1413342637E-02,  3.1410759078E-02,  2.5835588760E-06
 0.02000,  6.2795684097E-02,  6.2790519529E-02,  5.1645680913E-06
 0.03000,  9.4116053799E-02,  9.4108313319E-02,  7.7404805015E-06
 0.04000,  1.2534354232E-01,  1.2533323356E-01,  1.0308753992E-05
 0.05000,  1.5644733189E-01,  1.5643446504E-01,  1.2866853987E-05
 0.06000,  1.8739672684E-01,  1.8738131459E-01,  1.5412255950E-05
 0.07000,  2.1816118384E-01,  2.1814324140E-01,  1.7942447877E-05
 0.08000,  2.4871034210E-01,  2.4868988716E-01,  2.0454932775E-05
 0.09000,  2.7901405327E-01,  2.7899110604E-01,  2.2947231124E-05
 0.10000,  3.0904241126E-01,  3.0901699437E-01,  2.5416883326E-05
 0.11000,  3.3876578170E-01,  3.3873792025E-01,  2.7861452132E-05
 0.12000,  3.6815483121E-01,  3.6812455268E-01,  3.0278525049E-05
 0.13000,  3.9718055635E-01,  3.9714789063E-01,  3.2665716718E-05
 0.14000,  4.2581431224E-01,  4.2577929157E-01,  3.5020671268E-05
 0.15000,  4.5402784080E-01,  4.5399049974E-01,  3.7341064643E-05
 0.16000,  4.8179329871E-01,  4.8175367410E-01,  3.9624606896E-05
 0.17000,  5.0908328479E-01,  5.0904141575E-01,  4.1869044446E-05
 0.18000,  5.3587086714E-01,  5.3582679498E-01,  4.4072162304E-05
 0.19000,  5.6212960964E-01,  5.6208337785E-01,  4.6231786258E-05
 0.20000,  5.8783359808E-01,  5.8778525229E-01,  4.8345785021E-05
 0.21000,  6.1295746573E-01,  6.1290705365E-01,  5.0412072332E-05
 0.22000,  6.3747641836E-01,  6.3742398975E-01,  5.2428609013E-05
 0.23000,  6.6136625873E-01,  6.6131186532E-01,  5.4393404986E-05
 0.24000,  6.8460341045E-01,  6.8454710593E-01,  5.6304521237E-05
 0.25000,  7.0716494126E-01,  7.0710678119E-01,  5.8160071722E-05
 0.26000,  7.2902858565E-01,  7.2896862742E-01,  5.9958225238E-05
 0.27000,  7.5017276684E-01,  7.5011106963E-01,  6.1697207225E-05
 0.28000,  7.7057661808E-01,  7.7051324278E-01,  6.3375301517E-05
 0.29000,  7.9022000323E-01,  7.9015501238E-01,  6.4990852038E-05
 0.30000,  8.0908353664E-01,  8.0901699437E-01,  6.6542264434E-05
 0.31000,  8.2714860228E-01,  8.2708057427E-01,  6.8028007649E-05
 0.32000,  8.4439737212E-01,  8.4432792550E-01,  6.9446615434E-05
 0.33000,  8.6081282369E-01,  8.6074202700E-01,  7.0796687793E-05
 0.34000,  8.7637875694E-01,  8.7630668004E-01,  7.2076892370E-05
 0.35000,  8.9107981015E-01,  8.9100652419E-01,  7.3285965755E-05
 0.36000,  9.0490147518E-01,  9.0482705247E-01,  7.4422714740E-05
 0.37000,  9.1783011170E-01,  9.1775462568E-01,  7.5486017491E-05
 0.38000,  9.2985296071E-01,  9.2977648589E-01,  7.6474824656E-05
 0.39000,  9.4095815711E-01,  9.4088076895E-01,  7.7388160402E-05
 0.40000,  9.5113474142E-01,  9.5105651630E-01,  7.8225123377E-05
 0.41000,  9.6037267056E-01,  9.6029368568E-01,  7.8984887599E-05
 0.42000,  9.6866282783E-01,  9.6858316113E-01,  7.9666703273E-05
 0.43000,  9.7599703184E-01,  9.7591676194E-01,  8.0269897530E-05
 0.44000,  9.8236804460E-01,  9.8228725073E-01,  8.0793875088E-05
 0.45000,  9.8776957871E-01,  9.8768834060E-01,  8.1238118846E-05
 0.46000,  9.9219630350E-01,  9.9211470131E-01,  8.1602190389E-05
 0.47000,  9.9564385033E-01,  9.9556196460E-01,  8.1885730422E-05
 0.48000,  9.9810881689E-01,  9.9802672843E-01,  8.2088459125E-05
 0.49000,  9.9958877054E-01,  9.9950656037E-01,  8.2210176430E-05
 0.50000,  1.0000822508E+00,  1.0000000000E+00,  8.2250762216E-05
 0.51000,  9.9958877054E-01,  9.9950656037E-01,  8.2210176429E-05
 0.52000,  9.9810881689E-01,  9.9802672843E-01,  8.2088459124E-05
 0.53000,  9.9564385033E-01,  9.9556196460E-01,  8.1885730421E-05
 0.54000,  9.9219630350E-01,  9.9211470131E-01,  8.1602190388E-05
 0.55000,  9.8776957871E-01,  9.8768834060E-01,  8.1238118845E-05
 0.56000,  9.8236804460E-01,  9.8228725073E-01,  8.0793875087E-05
 0.57000,  9.7599703184E-01,  9.7591676194E-01,  8.0269897528E-05
 0.58000,  9.6866282783E-01,  9.6858316113E-01,  7.9666703271E-05
 0.59000,  9.6037267056E-01,  9.6029368568E-01,  7.8984887597E-05
 0.60000,  9.5113474142E-01,  9.5105651630E-01,  7.8225123374E-05
 0.61000,  9.4095815711E-01,  9.4088076895E-01,  7.7388160399E-05
 0.62000,  9.2985296071E-01,  9.2977648589E-01,  7.6474824653E-05
 0.63000,  9.1783011170E-01,  9.1775462568E-01,  7.5486017488E-05
 0.64000,  9.0490147518E-01,  9.0482705247E-01,  7.4422714738E-05
 0.65000,  8.9107981015E-01,  8.9100652419E-01,  7.3285965753E-05
 0.66000,  8.7637875694E-01,  8.7630668004E-01,  7.2076892367E-05
 0.67000,  8.6081282369E-01,  8.6074202700E-01,  7.0796687791E-05
 0.68000,  8.4439737212E-01,  8.4432792550E-01,  6.9446615432E-05
 0.69000,  8.2714860228E-01,  8.2708057427E-01,  6.8028007647E-05
 0.70000,  8.0908353664E-01,  8.0901699437E-01,  6.6542264432E-05
 0.71000,  7.9022000323E-01,  7.9015501238E-01,  6.4990852035E-05
 0.72000,  7.7057661808E-01,  7.7051324278E-01,  6.3375301515E-05
 0.73000,  7.5017276684E-01,  7.5011106963E-01,  6.1697207223E-05
 0.74000,  7.2902858565E-01,  7.2896862742E-01,  5.9958225236E-05
 0.75000,  7.0716494126E-01,  7.0710678119E-01,  5.8160071720E-05
 0.76000,  6.8460341045E-01,  6.8454710593E-01,  5.6304521234E-05
 0.77000,  6.6136625873E-01,  6.6131186532E-01,  5.4393404985E-05
 0.78000,  6.3747641836E-01,  6.3742398975E-01,  5.2428609011E-05
 0.79000,  6.1295746573E-01,  6.1290705365E-01,  5.0412072330E-05
 0.80000,  5.8783359808E-01,  5.8778525229E-01,  4.8345785020E-05
 0.81000,  5.6212960964E-01,  5.6208337785E-01,  4.6231786257E-05
 0.82000,  5.3587086714E-01,  5.3582679498E-01,  4.4072162302E-05
 0.83000,  5.0908328479E-01,  5.0904141575E-01,  4.1869044445E-05
 0.84000,  4.8179329871E-01,  4.8175367410E-01,  3.9624606895E-05
 0.85000,  4.5402784080E-01,  4.5399049974E-01,  3.7341064642E-05
 0.86000,  4.2581431224E-01,  4.2577929157E-01,  3.5020671267E-05
 0.87000,  3.9718055635E-01,  3.9714789063E-01,  3.2665716717E-05
 0.88000,  3.6815483121E-01,  3.6812455268E-01,  3.0278525048E-05
 0.89000,  3.3876578170E-01,  3.3873792025E-01,  2.7861452132E-05
 0.90000,  3.0904241126E-01,  3.0901699437E-01,  2.5416883325E-05
 0.91000,  2.7901405327E-01,  2.7899110604E-01,  2.2947231123E-05
 0.92000,  2.4871034210E-01,  2.4868988716E-01,  2.0454932775E-05
 0.93000,  2.1816118384E-01,  2.1814324140E-01,  1.7942447877E-05
 0.94000,  1.8739672684E-01,  1.8738131459E-01,  1.5412255950E-05
 0.95000,  1.5644733189E-01,  1.5643446504E-01,  1.2866853986E-05
 0.96000,  1.2534354232E-01,  1.2533323356E-01,  1.0308753991E-05
 0.97000,  9.4116053799E-02,  9.4108313319E-02,  7.7404805012E-06
 0.98000,  6.2795684097E-02,  6.2790519529E-02,  5.1645680910E-06
 0.99000,  3.1413342637E-02,  3.1410759078E-02,  2.5835588760E-06
 1.00000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
