x,f(x),FIO[f](x)
     -8.0000000000,  0.0000000000E+00,  2.2796050813E-03
     -7.9375000000,  5.1657258272E-32,  2.2799487911E-03
     -7.8750000000,  5.1227507509E-31,  2.2809803313E-03
     -7.8125000000,  2.7883088063E-30,  2.2827009354E-03
     -7.7500000000,  1.1658921226E-29,  2.2851126629E-03
     -7.6875000000,  4.1434136155E-29,  2.2882184042E-03
     -7.6250000000,  1.3010819028E-28,  2.2920218875E-03
     -7.5625000000,  3.6477352198E-28,  2.2965276887E-03
     -7.5000000000,  9.0033639298E-28,  2.3017412422E-03
     -7.4375000000,  1.8408066063E-27,  2.3076688549E-03
     -7.3750000000,  2.3952951339E-27,  2.3143177220E-03
     -7.3125000000, -2.9077843268E-27,  2.3216959449E-03
     -7.2500000000, -3.8515791379E-26,  2.3298125519E-03
     -7.1875000000, -1.9680656217E-25,  2.3386775211E-03
     -7.1250000000, -7.9493495774E-25,  2.3483018059E-03
     -7.0625000000, -2.8526159122E-24,  2.3586973635E-03
     -7.0000000000, -9.4891232116E-24,  2.3698771851E-03
     -6.9375000000, -2.9868099738E-23,  2.3818553307E-03
     -6.8750000000, -9.0000131650E-23,  2.3946469650E-03
     -6.8125000000, -2.6151521945E-22,  2.4082683984E-03
     -6.7500000000, -7.3635961356E-22,  2.4227371297E-03
     -6.6875000000, -2.0161092502E-21,  2.4380718933E-03
     -6.6250000000, -5.3809020785E-21,  2.4542927103E-03
     -6.5625000000, -1.4025598053E-20,  2.4714209423E-03
     -6.5000000000, -3.5753796151E-20,  2.4894793511E-03
     -6.4375000000, -8.9231241843E-20,  2.5084921611E-03
     -6.3750000000, -2.1819636078E-19,  2.5284851278E-03
     -6.3125000000, -5.2306827842E-19,  2.5494856106E-03
     -6.2500000000, -1.2297289092E-18,  2.5715226506E-03
     -6.1875000000, -2.8358419862E-18,  2.5946270546E-03
     -6.1250000000, -6.4147650008E-18,  2.6188314846E-03
     -6.0625000000, -1.4230784749E-17,  2.6441705541E-03
     -6.0000000000, -3.0949842550E-17,  2.6706809302E-03
     -5.9375000000, -6.5946629412E-17,  2.6984014437E-03
     -5.8750000000, -1.3753594706E-16,  2.7273732061E-03
     -5.8125000000, -2.8036864081E-16,  2.7576397352E-03
     -5.7500000000, -5.5753497996E-16,  2.7892470878E-03
     -5.6875000000, -1.0784434429E-15,  2.8222440029E-03
     -5.6250000000, -2.0204518092E-15,  2.8566820530E-03
     -5.5625000000, -3.6419790669E-15,  2.8926158054E-03
     -5.5000000000, -6.2469593333E-15,  2.9301029938E-03
     -5.4375000000, -9.9921105926E-15,  2.9692047001E-03
     -5.3750000000, -1.4271446467E-14,  3.0099855474E-03
     -5.3125000000, -1.6069030076E-14,  3.0525139027E-03
     -5.2500000000, -5.9487423664E-15,  3.0968620913E-03
     -5.1875000000,  4.1119469700E-14,  3.1431066205E-03
     -5.1250000000,  1.8580012888E-13,  3.1913284130E-03
     -5.0625000000,  5.6658547710E-13,  3.2416130467E-03
     -5.0000000000,  1.4858969778E-12,  3.2940510003E-03
     -4.9375000000,  3.5810160609E-12,  3.3487378979E-03
     -4.8750000000,  8.1550297752E-12,  3.4057747497E-03
     -4.8125000000,  1.7802814957E-11,  3.4652681784E-03
     -4.7500000000,  3.7569132885E-11,  3.5273306226E-03
     -4.6875000000,  7.7045752802E-11,  3.5920805042E-03
     -4.6250000000,  1.5409010049E-10,  3.6596423444E-03
     -4.5625000000,  3.0128306160E-10,  3.7301468184E-03
     -4.5000000000,  5.7691049493E-10,  3.8037307369E-03
     -4.4375000000,  1.0832414285E-09,  3.8805369652E-03
     -4.3750000000,  1.9962840432E-09,  3.9607143137E-03
     -4.3125000000,  3.6131104355E-09,  4.0444174921E-03
     -4.2500000000,  6.4252657414E-09,  4.1318073094E-03
     -4.1875000000,  1.1229560284E-08,  4.2230514521E-03
     -4.1250000000,  1.9290185332E-08,  4.3183264034E-03
     -4.0625000000,  3.2567465557E-08,  4.4178214044E-03
     -4.0000000000,  5.4026465484E-08,  4.5217458487E-03
     -3.9375000000,  8.8029181971E-08,  4.6303421698E-03
     -3.8750000000,  1.4079062298E-07,  4.7439071741E-03
     -3.8125000000,  2.2083128828E-07,  4.8628259038E-03
     -3.7500000000,  3.3927066101E-07,  4.9876234978E-03
     -3.6875000000,  5.0965541566E-07,  5.1190421079E-03
     -3.6250000000,  7.4677038776E-07,  5.2581516260E-03
     -3.5625000000,  1.0634978331E-06,  5.4065046063E-03
     -3.5000000000,  1.4642181633E-06,  5.5663470219E-03
     -3.4375000000,  1.9324206441E-06,  5.7408969528E-03
     -3.3750000000,  2.4090476850E-06,  5.9347023913E-03
     -3.3125000000,  2.7565671115E-06,  6.1540863471E-03
     -3.2500000000,  2.7018074916E-06,  6.4076815225E-03
     -3.1875000000,  1.7481976898E-06,  6.7070471496E-03
     -3.1250000000, -9.5470862930E-07,  7.0673463468E-03
     -3.0625000000, -6.7994892579E-06,  7.5080430383E-03
     -3.0000000000, -1.7984748899E-05,  8.0535530158E-03
     -2.9375000000, -3.7874603823E-05,  8.7337547399E-03
     -2.8750000000, -7.1474298512E-05,  9.5842336089E-03
     -2.8125000000, -1.2604051903E-04,  1.0646101461E-02
     -2.7500000000, -2.1183908279E-04,  1.1965205182E-02
     -2.6875000000, -3.4305135494E-04,  1.3590519921E-02
     -2.6250000000, -5.3881236566E-04,  1.5571520148E-02
     -2.5625000000, -8.2433673850E-04,  1.7954342754E-02
     -2.5000000000, -1.2320522291E-03,  2.0776607480E-02
     -2.4375000000, -1.8026148576E-03,  2.4060846824E-02
     -2.3750000000, -2.5856256160E-03,  2.7806622970E-02
     -2.3125000000, -3.6398097446E-03,  3.1981572145E-02
     -2.2500000000, -5.0323610899E-03,  3.6511810293E-02
     -2.1875000000, -6.8371041414E-03,  4.1272345129E-02
     -2.1250000000, -9.1310955574E-03,  4.6078348487E-02
     -2.0625000000, -1.1989287908E-02,  5.0678323491E-02
     -2.0000000000, -1.5476924614E-02,  5.4750322925E-02
     -1.9375000000, -1.9639439656E-02,  5.7902406157E-02
     -1.8750000000, -2.4489808823E-02,  5.9678432590E-02
     -1.8125000000, -2.9993546055E-02,  5.9570057366E-02
     -1.7500000000, -3.6051855603E-02,  5.7035410045E-02
     -1.6875000000, -4.2483824608E-02,  5.1524405998E-02
     -1.6250000000, -4.9008945262E-02,  4.2509990460E-02
     -1.5625000000, -5.5231652052E-02,  2.9523895200E-02
     -1.5000000000, -6.0629897433E-02,  1.2194765830E-02
     -1.4375000000, -6.4550010242E-02, -9.7141226410E-03
     -1.3750000000, -6.6210124540E-02, -3.6270813098E-02
     -1.3125000000, -6.4714277212E-02, -6.7347737922E-02
     -1.2500000000, -5.9078809607E-02, -1.0260525778E-01
     -1.1875000000, -4.8271955146E-02, -1.4148852049E-01
     -1.1250000000, -3.1266466254E-02, -1.8323962753E-01
     -1.0625000000, -7.1038835225E-03, -2.2692589692E-01
     -1.0000000000,  2.5032329807E-02, -2.7148356728E-01
     -0.9375000000,  6.5738945965E-02, -3.1577473028E-01
     -0.8750000000,  1.1531580931E-01, -3.5865376931E-01
     -0.8125000000,  1.7369564758E-01, -3.9903829857E-01
     -0.7500000000,  2.4038758970E-01, -4.3597870755E-01
     -0.6875000000,  3.1444095878E-01, -4.6872006373E-01
     -0.6250000000,  3.9443507142E-01, -4.9675040034E-01
     -0.5625000000,  4.7849925909E-01, -5.1983034109E-01
     -0.5000000000,  5.6436520744E-01, -5.3800053809E-01
     -0.4375000000,  6.4945113900E-01, -5.5156539534E-01
     -0.3750000000,  7.3097456889E-01, -5.6105382577E-01
     -0.3125000000,  8.0608761364E-01, -5.6716010694E-01
     -0.2500000000,  8.7202642519E-01, -5.7067000181E-01
     -0.1875000000,  9.2626453269E-01, -5.7237895251E-01
     -0.1250000000,  9.6665893384E-01, -5.7301013379E-01
     -0.0625000000,  9.9157783120E-01, -5.7314033842E-01
      0.0000000000,  1.0000000000E+00, -5.7314101444E-01
      0.0625000000,  9.9157783120E-01, -5.7314033842E-01
      0.1250000000,  9.6665893384E-01, -5.7301013379E-01
      0.1875000000,  9.2626453269E-01, -5.7237895251E-01
      0.2500000000,  8.7202642519E-01, -5.7067000181E-01
      0.3125000000,  8.0608761364E-01, -5.6716010694E-01
      0.3750000000,  7.3097456889E-01, -5.6105382577E-01
      0.4375000000,  6.4945113900E-01, -5.5156539534E-01
      0.5000000000,  5.6436520744E-01, -5.3800053809E-01
      0.5625000000,  4.7849925909E-01, -5.1983034109E-01
      0.6250000000,  3.9443507142E-01, -4.9675040034E-01
      0.6875000000,  3.1444095878E-01, -4.6872006373E-01
      0.7500000000,  2.4038758970E-01, -4.3597870755E-01
      0.8125000000,  1.7369564758E-01, -3.9903829857E-01
      0.8750000000,  1.1531580931E-01, -3.5865376931E-01
      0.9375000000,  6.5738945965E-02, -3.1577473028E-01
      1.0000000000,  2.5032329807E-02, -2.7148356728E-01
      1.0625000000, -7.1038835225E-03, -2.2692589692E-01
      1.1250000000, -3.1266466254E-02, -1.8323962753E-01
      1.1875000000, -4.8271955146E-02, -1.4148852049E-01
      1.2500000000, -5.9078809607E-02, -1.0260525778E-01
      1.3125000000, -6.4714277212E-02, -6.7347737922E-02
      1.3750000000, -6.6210124540E-02, -3.6270813098E-02
      1.4375000000, -6.4550010242E-02, -9.7141226410E-03
      1.5000000000, -6.0629897433E-02,  1.2194765830E-02
      1.5625000000, -5.5231652052E-02,  2.9523895200E-02
      1.6250000000, -4.9008945262E-02,  4.2509990460E-02
      1.6875000000, -4.2483824608E-02,  5.1524405998E-02
      1.7500000000, -3.6051855603E-02,  5.7035410045E-02
      1.8125000000, -2.9993546055E-02,  5.9570057366E-02
      1.8750000000, -2.4489808823E-02,  5.9678432590E-02
      1.9375000000, -1.9639439656E-02,  5.7902406157E-02
      2.0000000000, -1.5476924614E-02,  5.4750322925E-02
      2.0625000000, -1.1989287908E-02,  5.0678323491E-02
      2.1250000000, -9.1310955574E-03,  4.6078348487E-02
      2.1875000000, -6.8371041414E-03,  4.1272345129E-02
      2.2500000000, -5.0323610899E-03,  3.6511810293E-02
      2.3125000000, -3.6398097446E-03,  3.1981572145E-02
      2.3750000000, -2.5856256160E-03,  2.7806622970E-02
      2.4375000000, -1.8026148576E-03,  2.4060846824E-02
      2.5000000000, -1.2320522291E-03,  2.0776607480E-02
      2.5625000000, -8.2433673850E-04,  1.7954342754E-02
      2.6250000000, -5.3881236566E-04,  1.5571520148E-02
      2.6875000000, -3.4305135494E-04,  1.3590519921E-02
      2.7500000000, -2.1183908279E-04,  1.1965205182E-02
      2.8125000000, -1.2604051903E-04,  1.0646101461E-02
      2.8750000000, -7.1474298512E-05,  9.5842336089E-03
      2.9375000000, -3.7874603823E-05,  8.7337547399E-03
      3.0000000000, -1.7984748899E-05,  8.0535530158E-03
      3.0625000000, -6.7994892579E-06,  7.5080430383E-03
      3.1250000000, -9.5470862930E-07,  7.0673463468E-03
      3.1875000000,  1.7481976898E-06,  6.7070471496E-03
      3.2500000000,  2.7018074916E-06,  6.4076815225E-03
      3.3125000000,  2.7565671115E-06,  6.1540863471E-03
      3.3750000000,  2.4090476850E-06,  5.9347023913E-03
      3.4375000000,  1.9324206441E-06,  5.7408969528E-03
      3.5000000000,  1.4642181633E-06,  5.5663470219E-03
      3.5625000000,  1.0634978331E-06,  5.4065046064E-03
      3.6250000000,  7.4677038776E-07,  5.2581516260E-03
      3.6875000000,  5.0965541566E-07,  5.1190421079E-03
      3.7500000000,  3.3927066101E-07,  4.9876234978E-03
      3.8125000000,  2.2083128828E-07,  4.8628259038E-03
      3.8750000000,  1.4079062298E-07,  4.7439071741E-03
      3.9375000000,  8.8029181971E-08,  4.6303421698E-03
      4.0000000000,  5.4026465484E-08,  4.5217458487E-03
      4.0625000000,  3.2567465557E-08,  4.4178214044E-03
      4.1250000000,  1.9290185332E-08,  4.3183264034E-03
      4.1875000000,  1.1229560284E-08,  4.2230514521E-03
      4.2500000000,  6.4252657414E-09,  4.1318073094E-03
      4.3125000000,  3.6131104355E-09,  4.0444174921E-03
      4.3750000000,  1.9962840432E-09,  3.9607143137E-03
      4.4375000000,  1.0832414285E-09,  3.8805369652E-03
      4.5000000000,  5.7691049493E-10,  3.8037307369E-03
      4.5625000000,  3.0128306160E-10,  3.7301468184E-03
      4.6250000000,  1.5409010049E-10,  3.6596423444E-03
      4.6875000000,  7.7045752802E-11,  3.5920805042E-03
      4.7500000000,  3.7569132885E-11,  3.5273306226E-03
      4.8125000000,  1.7802814957E-11,  3.4652681784E-03
      4.8750000000,  8.1550297752E-12,  3.4057747497E-03
      4.9375000000,  3.5810160609E-12,  3.3487378979E-03
      5.0000000000,  1.4858969778E-12,  3.2940510003E-03
      5.0625000000,  5.6658547710E-13,  3.2416130468E-03
      5.1250000000,  1.8580012888E-13,  3.1913284130E-03
      5.1875000000,  4.1119469700E-14,  3.1431066205E-03
      5.2500000000, -5.9487423664E-15,  3.0968620913E-03
      5.3125000000, -1.6069030076E-14,  3.0525139027E-03
      5.3750000000, -1.4271446467E-14,  3.0099855474E-03
      5.4375000000, -9.9921105926E-15,  2.9692047001E-03
      5.5000000000, -6.2469593333E-15,  2.9301029937E-03
      5.5625000000, -3.6419790669E-15,  2.8926158054E-03
      5.6250000000, -2.0204518092E-15,  2.8566820530E-03
      5.6875000000, -1.0784434429E-15,  2.8222440029E-03
      5.7500000000, -5.5753497996E-16,  2.7892470878E-03
      5.8125000000, -2.8036864081E-16,  2.7576397352E-03
      5.8750000000, -1.3753594706E-16,  2.7273732061E-03
      5.9375000000, -6.5946629412E-17,  2.6984014437E-03
      6.0000000000, -3.0949842550E-17,  2.6706809302E-03
      6.0625000000, -1.4230784749E-17,  2.6441705541E-03
      6.1250000000, -6.4147650008E-18,  2.6188314846E-03
      6.1875000000, -2.8358419862E-18,  2.5946270546E-03
      6.2500000000, -1.2297289092E-18,  2.5715226506E-03
      6.3125000000, -5.2306827842E-19,  2.5494856106E-03
      6.3750000000, -2.1819636078E-19,  2.5284851278E-03
      6.4375000000, -8.9231241843E-20,  2.5084921611E-03
      6.5000000000, -3.5753796151E-20,  2.4894793511E-03
      6.5625000000, -1.4025598053E-20,  2.4714209423E-03
      6.6250000000, -5.3809020785E-21,  2.4542927103E-03
      6.6875000000, -2.0161092502E-21,  2.4380718933E-03
      6.7500000000, -7.3635961356E-22,  2.4227371297E-03
      6.8125000000, -2.6151521945E-22,  2.4082683984E-03
      6.8750000000, -9.0000131650E-23,  2.3946469650E-03
      6.9375000000, -2.9868099738E-23,  2.3818553307E-03
      7.0000000000, -9.4891232116E-24,  2.3698771851E-03
      7.0625000000, -2.8526159122E-24,  2.3586973635E-03
      7.1250000000, -7.9493495774E-25,  2.3483018059E-03
      7.1875000000, -1.9680656217E-25,  2.3386775211E-03
      7.2500000000, -3.8515791379E-26,  2.3298125519E-03
      7.3125000000, -2.9077843268E-27,  2.3216959449E-03
      7.3750000000,  2.3952951339E-27,  2.3143177220E-03
      7.4375000000,  1.8408066063E-27,  2.3076688549E-03
      7.5000000000,  9.0033639298E-28,  2.3017412422E-03
      7.5625000000,  3.6477352198E-28,  2.2965276887E-03
      7.6250000000,  1.3010819028E-28,  2.2920218875E-03
      7.6875000000,  4.1434136155E-29,  2.2882184042E-03
      7.7500000000,  1.1658921226E-29,  2.2851126629E-03
      7.8125000000,  2.7883088063E-30,  2.2827009354E-03
      7.8750000000,  5.1227507509E-31,  2.2809803313E-03
      7.9375000000,  5.1657258272E-32,  2.2799487911E-03
