x,k,symbol
 -1.0000000000E+01, -5.0000000000E+00,  5.0990195136E+00
 -9.9000000000E+00, -4.9500000000E+00,  5.0500000000E+00
 -9.8000000000E+00, -4.9000000000E+00,  5.0009999000E+00
 -9.7000000000E+00, -4.8500000000E+00,  4.9520197899E+00
 -9.6000000000E+00, -4.8000000000E+00,  4.9030602689E+00
 -9.5000000000E+00, -4.7500000000E+00,  4.8541219597E+00
 -9.4000000000E+00, -4.7000000000E+00,  4.8052055107E+00
 -9.3000000000E+00, -4.6500000000E+00,  4.7563115962E+00
 -9.2000000000E+00, -4.6000000000E+00,  4.7074409184E+00
 -9.1000000000E+00, -4.5500000000E+00,  4.6585942086E+00
 -9.0000000000E+00, -4.5000000000E+00,  4.6097722286E+00
 -8.9000000000E+00, -4.4500000000E+00,  4.5609757728E+00
 -8.8000000000E+00, -4.4000000000E+00,  4.5122056691E+00
 -8.7000000000E+00, -4.3500000000E+00,  4.4634627813E+00
 -8.6000000000E+00, -4.3000000000E+00,  4.4147480109E+00
 -8.5000000000E+00, -4.2500000000E+00,  4.3660622991E+00
 -8.4000000000E+00, -4.2000000000E+00,  4.3174066290E+00
 -8.3000000000E+00, -4.1500000000E+00,  4.2687820277E+00
 -8.2000000000E+00, -4.1000000000E+00,  4.2201895692E+00
 -8.1000000000E+00, -4.0500000000E+00,  4.1716303767E+00
 -8.0000000000E+00, -4.0000000000E+00,  4.1231056256E+00
 -7.9000000000E+00, -3.9500000000E+00,  4.0746165464E+00
 -7.8000000000E+00, -3.9000000000E+00,  4.0261644278E+00
 -7.7000000000E+00, -3.8500000000E+00,  3.9777506206E+00
 -7.6000000000E+00, -3.8000000000E+00,  3.9293765409E+00
 -7.5000000000E+00, -3.7500000000E+00,  3.8810436741E+00
 -7.4000000000E+00, -3.7000000000E+00,  3.8327535793E+00
 -7.3000000000E+00, -3.6500000000E+00,  3.7845078940E+00
 -7.2000000000E+00, -3.6000000000E+00,  3.7363083385E+00
 -7.1000000000E+00, -3.5500000000E+00,  3.6881567212E+00
 -7.0000000000E+00, -3.5000000000E+00,  3.6400549446E+00
 -6.9000000000E+00, -3.4500000000E+00,  3.5920050111E+00
 -6.8000000000E+00, -3.4000000000E+00,  3.5440090293E+00
 -6.7000000000E+00, -3.3500000000E+00,  3.4960692213E+00
 -6.6000000000E+00, -3.3000000000E+00,  3.4481879299E+00
 -6.5000000000E+00, -3.2500000000E+00,  3.4003676272E+00
 -6.4000000000E+00, -3.2000000000E+00,  3.3526109228E+00
 -6.3000000000E+00, -3.1500000000E+00,  3.3049205739E+00
 -6.2000000000E+00, -3.1000000000E+00,  3.2572994950E+00
 -6.1000000000E+00, -3.0500000000E+00,  3.2097507691E+00
 -6.0000000000E+00, -3.0000000000E+00,  3.1622776602E+00
 -5.9000000000E+00, -2.9500000000E+00,  3.1148836254E+00
 -5.8000000000E+00, -2.9000000000E+00,  3.0675723300E+00
 -5.7000000000E+00, -2.8500000000E+00,  3.0203476621E+00
 -5.6000000000E+00, -2.8000000000E+00,  2.9732137495E+00
 -5.5000000000E+00, -2.7500000000E+00,  2.9261749777E+00
 -5.4000000000E+00, -2.7000000000E+00,  2.8792360098E+00
 -5.3000000000E+00, -2.6500000000E+00,  2.8324018077E+00
 -5.2000000000E+00, -2.6000000000E+00,  2.7856776554E+00
 -5.1000000000E+00, -2.5500000000E+00,  2.7390691850E+00
 -5.0000000000E+00, -2.5000000000E+00,  2.6925824036E+00
 -4.9000000000E+00, -2.4500000000E+00,  2.6462237245E+00
 -4.8000000000E+00, -2.4000000000E+00,  2.6000000000E+00
 -4.7000000000E+00, -2.3500000000E+00,  2.5539185578E+00
 -4.6000000000E+00, -2.3000000000E+00,  2.5079872408E+00
 -4.5000000000E+00, -2.2500000000E+00,  2.4622144504E+00
 -4.4000000000E+00, -2.2000000000E+00,  2.4166091947E+00
 -4.3000000000E+00, -2.1500000000E+00,  2.3711811403E+00
 -4.2000000000E+00, -2.1000000000E+00,  2.3259406699E+00
 -4.1000000000E+00, -2.0500000000E+00,  2.2808989456E+00
 -4.0000000000E+00, -2.0000000000E+00,  2.2360679775E+00
 -3.9000000000E+00, -1.9500000000E+00,  2.1914607001E+00
 -3.8000000000E+00, -1.9000000000E+00,  2.1470910554E+00
 -3.7000000000E+00, -1.8500000000E+00,  2.1029740845E+00
 -3.6000000000E+00, -1.8000000000E+00,  2.0591260282E+00
 -3.5000000000E+00, -1.7500000000E+00,  2.0155644371E+00
 -3.4000000000E+00, -1.7000000000E+00,  1.9723082923E+00
 -3.3000000000E+00, -1.6500000000E+00,  1.9293781382E+00
 -3.2000000000E+00, -1.6000000000E+00,  1.8867962264E+00
 -3.1000000000E+00, -1.5500000000E+00,  1.8445866746E+00
 -3.0000000000E+00, -1.5000000000E+00,  1.8027756377E+00
 -2.9000000000E+00, -1.4500000000E+00,  1.7613914954E+00
 -2.8000000000E+00, -1.4000000000E+00,  1.7204650534E+00
 -2.7000000000E+00, -1.3500000000E+00,  1.6800297616E+00
 -2.6000000000E+00, -1.3000000000E+00,  1.6401219467E+00
 -2.5000000000E+00, -1.2500000000E+00,  1.6007810594E+00
 -2.4000000000E+00, -1.2000000000E+00,  1.5620499352E+00
 -2.3000000000E+00, -1.1500000000E+00,  1.5239750654E+00
 -2.2000000000E+00, -1.1000000000E+00,  1.4866068747E+00
 -2.1000000000E+00, -1.0500000000E+00,  1.4500000000E+00
 -2.0000000000E+00, -1.0000000000E+00,  1.4142135624E+00
 -1.9000000000E+00, -9.5000000000E-01,  1.3793114224E+00
 -1.8000000000E+00, -9.0000000000E-01,  1.3453624047E+00
 -1.7000000000E+00, -8.5000000000E-01,  1.3124404748E+00
 -1.6000000000E+00, -8.0000000000E-01,  1.2806248475E+00
 -1.5000000000E+00, -7.5000000000E-01,  1.2500000000E+00
 -1.4000000000E+00, -7.0000000000E-01,  1.2206555616E+00
 -1.3000000000E+00, -6.5000000000E-01,  1.1926860442E+00
 -1.2000000000E+00, -6.0000000000E-01,  1.1661903790E+00
 -1.1000000000E+00, -5.5000000000E-01,  1.1412712211E+00
 -1.0000000000E+00, -5.0000000000E-01,  1.1180339887E+00
 -9.0000000000E-01, -4.5000000000E-01,  1.0965856100E+00
 -8.0000000000E-01, -4.0000000000E-01,  1.0770329614E+00
 -7.0000000000E-01, -3.5000000000E-01,  1.0594810050E+00
 -6.0000000000E-01, -3.0000000000E-01,  1.0440306509E+00
 -5.0000000000E-01, -2.5000000000E-01,  1.0307764064E+00
 -4.0000000000E-01, -2.0000000000E-01,  1.0198039027E+00
 -3.0000000000E-01, -1.5000000000E-01,  1.0111874208E+00
 -2.0000000000E-01, -1.0000000000E-01,  1.0049875621E+00
 -1.0000000000E-01, -5.0000000000E-02,  1.0012492197E+00
  0.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00
  1.0000000000E-01,  5.0000000000E-02,  1.0012492197E+00
  2.0000000000E-01,  1.0000000000E-01,  1.0049875621E+00
  3.0000000000E-01,  1.5000000000E-01,  1.0111874208E+00
  4.0000000000E-01,  2.0000000000E-01,  1.0198039027E+00
  5.0000000000E-01,  2.5000000000E-01,  1.0307764064E+00
  6.0000000000E-01,  3.0000000000E-01,  1.0440306509E+00
  7.0000000000E-01,  3.5000000000E-01,  1.0594810050E+00
  8.0000000000E-01,  4.0000000000E-01,  1.0770329614E+00
  9.0000000000E-01,  4.5000000000E-01,  1.0965856100E+00
  1.0000000000E+00,  5.0000000000E-01,  1.1180339887E+00
  1.1000000000E+00,  5.5000000000E-01,  1.1412712211E+00
  1.2000000000E+00,  6.0000000000E-01,  1.1661903790E+00
  1.3000000000E+00,  6.5000000000E-01,  1.1926860442E+00
  1.4000000000E+00,  7.0000000000E-01,  1.2206555616E+00
  1.5000000000E+00,  7.5000000000E-01,  1.2500000000E+00
  1.6000000000E+00,  8.0000000000E-01,  1.2806248475E+00
  1.7000000000E+00,  8.5000000000E-01,  1.3124404748E+00
  1.8000000000E+00,  9.0000000000E-01,  1.3453624047E+00
  1.9000000000E+00,  9.5000000000E-01,  1.3793114224E+00
  2.0000000000E+00,  1.0000000000E+00,  1.4142135624E+00
  2.1000000000E+00,  1.0500000000E+00,  1.4500000000E+00
  2.2000000000E+00,  1.1000000000E+00,  1.4866068747E+00
  2.3000000000E+00,  1.1500000000E+00,  1.5239750654E+00
  2.4000000000E+00,  1.2000000000E+00,  1.5620499352E+00
  2.5000000000E+00,  1.2500000000E+00,  1.6007810594E+00
  2.6000000000E+00,  1.3000000000E+00,  1.6401219467E+00
  2.7000000000E+00,  1.3500000000E+00,  1.6800297616E+00
  2.8000000000E+00,  1.4000000000E+00,  1.7204650534E+00
  2.9000000000E+00,  1.4500000000E+00,  1.7613914954E+00
  3.0000000000E+00,  1.5000000000E+00,  1.8027756377E+00
  3.1000000000E+00,  1.5500000000E+00,  1.8445866746E+00
  3.2000000000E+00,  1.6000000000E+00,  1.8867962264E+00
  3.3000000000E+00,  1.6500000000E+00,  1.9293781382E+00
  3.4000000000E+00,  1.7000000000E+00,  1.9723082923E+00
  3.5000000000E+00,  1.7500000000E+00,  2.0155644371E+00
  3.6000000000E+00,  1.8000000000E+00,  2.0591260282E+00
  3.7000000000E+00,  1.8500000000E+00,  2.1029740845E+00
  3.8000000000E+00,  1.9000000000E+00,  2.1470910554E+00
  3.9000000000E+00,  1.9500000000E+00,  2.1914607001E+00
  4.0000000000E+00,  2.0000000000E+00,  2.2360679775E+00
  4.1000000000E+00,  2.0500000000E+00,  2.2808989456E+00
  4.2000000000E+00,  2.1000000000E+00,  2.3259406699E+00
  4.3000000000E+00,  2.1500000000E+00,  2.3711811403E+00
  4.4000000000E+00,  2.2000000000E+00,  2.4166091947E+00
  4.5000000000E+00,  2.2500000000E+00,  2.4622144504E+00
  4.6000000000E+00,  2.3000000000E+00,  2.5079872408E+00
  4.7000000000E+00,  2.3500000000E+00,  2.5539185578E+00
  4.8000000000E+00,  2.4000000000E+00,  2.6000000000E+00
  4.9000000000E+00,  2.4500000000E+00,  2.6462237245E+00
  5.0000000000E+00,  2.5000000000E+00,  2.6925824036E+00
  5.1000000000E+00,  2.5500000000E+00,  2.7390691850E+00
  5.2000000000E+00,  2.6000000000E+00,  2.7856776554E+00
  5.3000000000E+00,  2.6500000000E+00,  2.8324018077E+00
  5.4000000000E+00,  2.7000000000E+00,  2.8792360098E+00
  5.5000000000E+00,  2.7500000000E+00,  2.9261749777E+00
  5.6000000000E+00,  2.8000000000E+00,  2.9732137495E+00
  5.7000000000E+00,  2.8500000000E+00,  3.0203476621E+00
  5.8000000000E+00,  2.9000000000E+00,  3.0675723300E+00
  5.9000000000E+00,  2.9500000000E+00,  3.1148836254E+00
  6.0000000000E+00,  3.0000000000E+00,  3.1622776602E+00
  6.1000000000E+00,  3.0500000000E+00,  3.2097507691E+00
  6.2000000000E+00,  3.1000000000E+00,  3.2572994950E+00
  6.3000000000E+00,  3.1500000000E+00,  3.3049205739E+00
  6.4000000000E+00,  3.2000000000E+00,  3.3526109228E+00
  6.5000000000E+00,  3.2500000000E+00,  3.4003676272E+00
  6.6000000000E+00,  3.3000000000E+00,  3.4481879299E+00
  6.7000000000E+00,  3.3500000000E+00,  3.4960692213E+00
  6.8000000000E+00,  3.4000000000E+00,  3.5440090293E+00
  6.9000000000E+00,  3.4500000000E+00,  3.5920050111E+00
  7.0000000000E+00,  3.5000000000E+00,  3.6400549446E+00
  7.1000000000E+00,  3.5500000000E+00,  3.6881567212E+00
  7.2000000000E+00,  3.6000000000E+00,  3.7363083385E+00
  7.3000000000E+00,  3.6500000000E+00,  3.7845078940E+00
  7.4000000000E+00,  3.7000000000E+00,  3.8327535793E+00
  7.5000000000E+00,  3.7500000000E+00,  3.8810436741E+00
  7.6000000000E+00,  3.8000000000E+00,  3.9293765409E+00
  7.7000000000E+00,  3.8500000000E+00,  3.9777506206E+00
  7.8000000000E+00,  3.9000000000E+00,  4.0261644278E+00
  7.9000000000E+00,  3.9500000000E+00,  4.0746165464E+00
  8.0000000000E+00,  4.0000000000E+00,  4.1231056256E+00
  8.1000000000E+00,  4.0500000000E+00,  4.1716303767E+00
  8.2000000000E+00,  4.1000000000E+00,  4.2201895692E+00
  8.3000000000E+00,  4.1500000000E+00,  4.2687820277E+00
  8.4000000000E+00,  4.2000000000E+00,  4.3174066290E+00
  8.5000000000E+00,  4.2500000000E+00,  4.3660622991E+00
  8.6000000000E+00,  4.3000000000E+00,  4.4147480109E+00
  8.7000000000E+00,  4.3500000000E+00,  4.4634627813E+00
  8.8000000000E+00,  4.4000000000E+00,  4.5122056691E+00
  8.9000000000E+00,  4.4500000000E+00,  4.5609757728E+00
  9.0000000000E+00,  4.5000000000E+00,  4.6097722286E+00
  9.1000000000E+00,  4.5500000000E+00,  4.6585942086E+00
  9.2000000000E+00,  4.6000000000E+00,  4.7074409184E+00
  9.3000000000E+00,  4.6500000000E+00,  4.7563115962E+00
  9.4000000000E+00,  4.7000000000E+00,  4.8052055107E+00
  9.5000000000E+00,  4.7500000000E+00,  4.8541219597E+00
  9.6000000000E+00,  4.8000000000E+00,  4.9030602689E+00
  9.7000000000E+00,  4.8500000000E+00,  4.9520197899E+00
  9.8000000000E+00,  4.9000000000E+00,  5.0009999000E+00
  9.9000000000E+00,  4.9500000000E+00,  5.0500000000E+00
  1.0000000000E+01,  5.0000000000E+00,  5.0990195136E+00
